#1	
double	V_DHW(674,2)
0	0
421	0
422	49
423	0
427	0
428	906
429	480
432	480
433	0
434	0
435	253
436	0
441	0
442	468
443	0
446	0
447	19
448	205
449	0
450	445
451	0
452	348
453	0
458	0
459	211
460	0
461	420
462	0
468	0
469	306
470	181
471	85
472	0
473	0
474	343
475	0
528	0
529	492
530	0
585	0
586	7
587	0
696	0
697	384
698	0
708	0
709	168
710	0
723	0
724	450
725	480
726	516
727	0
732	0
733	480
736	480
737	517
738	0
746	0
747	115
748	0
750	0
751	240
752	265
753	0
773	0
774	264
775	0
894	0
895	378
896	0
944	0
945	354
946	0
1024	0
1025	480
1029	480
1030	0
1094	0
1095	414
1096	0
1128	0
1129	198
1130	0
1152	0
1153	43
1154	0
1200	0
1201	480
1205	480
1206	0
1267	0
1268	341
1272	341
1273	0
1286	0
1287	181
1288	0
1301	0
1302	330
1303	0
1565	0
1566	85
1567	0
1861	0
1862	348
1863	0
1867	0
1868	43
1869	217
1870	0
1873	0
1874	360
1875	192
1876	0
1877	444
1878	0
1889	0
1890	846
1891	480
1894	480
1895	0
1897	0
1898	480
1900	480
1901	780
1902	480
1903	0
1904	0
1905	31
1906	25
1907	0
1915	0
1916	480
1920	480
1921	0
2010	0
2011	109
2012	0
2175	0
2176	169
2177	0
2205	0
2206	162
2207	0
2217	0
2218	1050
2227	1050
2228	0
2244	0
2245	456
2246	0
2438	0
2439	25
2440	0
2555	0
2556	372
2557	0
2560	0
2561	127
2562	0
2588	0
2589	73
2590	0
2614	0
2615	341
2616	821
2619	821
2620	480
2621	0
2629	0
2630	552
2631	0
2693	0
2694	277
2695	0
2715	0
2716	294
2717	0
2754	0
2755	115
2756	0
3265	0
3266	235
3267	0
3304	0
3305	109
3306	0
3308	0
3309	360
3310	0
3311	0
3312	1
3313	498
3314	0
3316	0
3317	61
3318	0
3320	0
3321	236
3322	0
3323	0
3324	366
3325	0
3330	0
3331	288
3332	0
3334	0
3335	318
3336	0
3340	0
3341	372
3342	0
3343	0
3344	270
3345	0
3349	0
3350	145
3351	0
3352	402
3353	0
3356	0
3357	121
3358	127
3359	0
3372	0
3373	13
3374	0
3420	0
3421	462
3422	0
3470	0
3471	49
3472	0
3523	0
3524	426
3525	0
3606	0
3607	414
3608	0
3614	0
3615	432
3616	0
3617	79
3618	139
3619	0
3620	133
3621	0
3634	0
3635	260
3636	0
3637	174
3638	13
3639	0
3644	0
3645	480
3649	480
3650	0
3669	0
3670	73
3671	49
3672	0
3692	0
3693	438
3694	0
3817	0
3818	390
3819	0
3882	0
3883	7
3884	0
3929	0
3930	121
3931	0
3938	0
3939	228
3940	0
3982	0
3983	169
3984	0
4008	0
4009	396
4010	0
4022	0
4023	163
4024	0
4077	0
4078	528
4079	0
4139	0
4140	420
4141	0
4172	0
4173	270
4174	0
4175	0
4176	510
4177	0
4740	0
4741	396
4742	336
4743	0
4745	0
4746	236
4747	109
4748	0
4749	0
4750	133
4751	0
4752	13
4753	0
4769	0
4770	187
4771	318
4772	0
4787	0
4788	91
4789	0
4797	0
4798	61
4799	0
5008	0
5009	288
5010	0
5061	0
5062	85
5063	0
5074	0
5075	49
5076	0
5089	0
5090	7
5091	0
5096	0
5097	67
5098	0
5218	0
5219	85
5220	0
5385	0
5386	73
5387	0
5433	0
5434	79
5435	0
5436	540
5437	0
5438	0
5439	91
5440	0
5450	0
5451	139
5452	0
5506	0
5507	205
5508	0
5591	0
5592	324
5593	0
5636	0
5637	223
5638	0
6182	0
6183	480
6187	480
6188	0
6189	0
6190	271
6191	480
6195	480
6196	0
6204	0
6205	354
6206	0
6208	0
6209	180
6210	0
6213	0
6214	402
6215	0
6216	31
6217	0
6219	0
6220	300
6221	480
6223	480
6224	810
6225	480
6226	0
6227	560
6228	0
6229	0
6230	169
6231	0
6237	0
6238	901
6239	480
6240	984
6241	480
6242	480
6243	0
6360	0
6361	13
6362	0
6484	0
6485	522
6486	151
6487	0
6490	0
6491	306
6492	0
6495	0
6496	486
6497	0
6515	0
