#1	
double	Pel(35040,2)
0	108.96
900	100.98
1800	93.37
2700	86.03
3600	78.94
4500	72.44
5400	66.71
6300	62.14
7200	58.89
8100	56.65
9000	55
9900	53.92
10800	52.8
11700	51.68
12600	50.67
13500	49.79
14400	48.95
15300	48.31
16200	47.95
17100	47.71
18000	47.71
18900	47.79
19800	48.19
20700	48.71
21600	49.43
22500	50.27
23400	51.43
24300	52.8
25200	54.76
26100	58.01
27000	63.62
27900	72.6
28800	85.39
29700	101.23
30600	118.5
31500	135.7
32400	151.78
33300	166.45
34200	179.76
35100	191.71
36000	202.41
36900	212.27
37800	221.57
38700	231.03
39600	240.66
40500	249.72
41400	257.17
42300	262.14
43200	263.67
44100	261.66
45000	256.33
45900	247.63
46800	236.01
47700	222.46
48600	208.26
49500	194.83
50400	182.97
51300	172.95
52200	164.45
53100	157.51
54000	151.86
54900	147.05
55800	142.92
56700	138.83
57600	134.82
58500	131.85
59400	130.97
60300	133.7
61200	140.55
62100	150.54
63000	161.84
63900	173.03
64800	182.73
65700	191.11
66600	198.8
67500	206.14
68400	213.52
69300	219.57
70200	222.98
71100	221.73
72000	215.24
72900	205.06
73800	193.67
74700	183.37
75600	176.03
76500	170.78
77400	166.45
78300	161.56
79200	155.35
80100	147.65
81000	138.91
81900	129.45
82800	119.75
83700	110.05
84600	100.46
85500	91.12
86400	109.12
87300	101.15
88200	93.49
89100	86.15
90000	79.06
90900	72.56
91800	66.83
92700	62.22
93600	59.01
94500	56.77
95400	55.12
96300	54
97200	52.88
98100	51.76
99000	50.75
99900	49.87
100800	49.03
101700	48.39
102600	48.03
103500	47.79
104400	47.79
105300	47.87
106200	48.27
107100	48.79
108000	49.51
108900	50.35
109800	51.51
110700	52.88
111600	54.84
112500	58.09
113400	63.74
114300	72.72
115200	85.51
116100	101.39
117000	118.7
117900	135.9
118800	151.98
119700	166.69
120600	180.04
121500	191.99
122400	202.73
123300	212.59
124200	221.89
125100	231.4
126000	241.02
126900	250.08
127800	257.57
128700	262.54
129600	264.07
130500	262.06
131400	256.73
132300	247.99
133200	236.37
134100	222.82
135000	208.58
135900	195.11
136800	183.25
137700	173.19
138600	164.73
139500	157.75
140400	152.1
141300	147.25
142200	143.12
143100	139.03
144000	135.06
144900	132.05
145800	131.17
146700	133.9
147600	140.79
148500	150.74
149400	162.08
150300	173.31
151200	183.01
152100	191.39
153000	199.12
153900	206.46
154800	213.84
155700	219.93
156600	223.3
157500	222.05
158400	215.56
159300	205.34
160200	193.99
161100	183.65
162000	176.27
162900	171.06
163800	166.69
164700	161.84
165600	155.59
166500	147.85
167400	139.15
168300	129.65
169200	119.95
170100	110.21
171000	100.62
171900	91.24
172800	84.39
173700	75.89
174600	68.55
175500	62.34
176400	57.69
177300	54.44
178200	52.32
179100	50.95
180000	50.07
180900	49.43
181800	49.19
182700	48.83
183600	48.43
184500	48.19
185400	47.83
186300	47.83
187200	47.95
188100	48.43
189000	49.11
189900	49.95
190800	51.07
191700	53.84
192600	59.57
193500	69.68
194400	84.91
195300	103.39
196200	122.35
197100	139.23
198000	151.82
198900	160.44
199800	165.69
200700	168.29
201600	169.06
202500	168.29
203400	166.21
204300	163.2
205200	159.44
206100	155.55
207000	151.7
207900	148.57
208800	146.49
209700	145.08
210600	144.48
211500	144.48
212400	144.96
213300	146.09
214200	148.21
215100	151.7
216000	156.55
216900	161.8
217800	166.05
218700	168.29
219600	167.53
220500	164.45
221400	159.8
222300	154.82
223200	150.05
224100	145.8
225000	141.96
225900	138.23
226800	134.74
227700	131.73
228600	129.25
229500	127.84
230400	127.6
231300	128.85
232200	131.85
233100	137.23
234000	144.8
234900	154.46
235800	165.53
236700	177.68
237600	190.26
238500	202.49
239400	213.76
240300	223.38
241200	230.63
242100	234.96
243000	235.85
243900	232.72
244800	225.62
245700	215.64
246600	204.66
247500	194.27
248400	185.93
249300	179.04
250200	172.78
251100	166.29
252000	158.79
252900	150.46
253800	141.48
254700	131.97
255600	122.35
256500	112.61
257400	103.03
258300	93.53
259200	84.51
260100	76.01
261000	68.67
261900	62.42
262800	57.77
263700	54.52
264600	52.4
265500	50.99
266400	50.15
267300	49.51
268200	49.27
269100	48.91
270000	48.51
270900	48.27
271800	47.91
272700	47.91
273600	47.99
274500	48.51
275400	49.15
276300	49.99
277200	51.15
278100	53.92
279000	59.65
279900	69.76
280800	84.99
281700	103.51
282600	122.51
283500	139.39
284400	152.02
285300	160.68
286200	165.93
287100	168.5
288000	169.26
288900	168.5
289800	166.41
290700	163.4
291600	159.68
292500	155.75
293400	151.9
294300	148.77
295200	146.65
296100	145.24
297000	144.64
297900	144.64
298800	145.16
299700	146.25
300600	148.41
301500	151.9
302400	156.75
303300	162
304200	166.25
305100	168.5
306000	167.77
306900	164.65
307800	160
308700	155.03
309600	150.25
310500	146.01
311400	142.16
312300	138.43
313200	134.9
314100	131.89
315000	129.41
315900	128.01
316800	127.76
317700	129.01
318600	132.01
319500	137.43
320400	145
321300	154.66
322200	165.77
323100	177.92
324000	190.5
324900	202.77
325800	214
326700	223.66
327600	230.91
328500	235.28
329400	236.17
330300	233
331200	225.9
332100	215.92
333000	204.9
333900	194.51
334800	186.17
335700	179.28
336600	173.03
337500	166.53
338400	158.99
339300	150.66
