#1	
double	Pel(35040,2)
0	0.10896
900	0.10098
1800	0.09337
2700	0.08603
3600	0.07894
4500	0.07244
5400	0.06671
6300	0.06214
7200	0.05889
8100	0.05665
9000	0.05500
9900	0.05392
10800	0.05280
11700	0.05168
12600	0.05067
13500	0.04979
14400	0.04895
15300	0.04831
16200	0.04795
17100	0.04771
18000	0.04771
18900	0.04779
19800	0.04819
20700	0.04871
21600	0.04943
22500	0.05027
23400	0.05143
24300	0.05280
25200	0.05476
26100	0.05801
27000	0.06362
27900	0.07260
28800	0.08539
29700	0.10123
30600	0.11850
31500	0.13570
32400	0.15178
33300	0.16645
34200	0.17976
35100	0.19171
36000	0.20241
36900	0.21227
37800	0.22157
38700	0.23103
39600	0.24066
40500	0.24972
41400	0.25717
42300	0.26214
43200	0.26367
44100	0.26166
45000	0.25633
45900	0.24763
46800	0.23601
47700	0.22246
48600	0.20826
49500	0.19483
50400	0.18297
51300	0.17295
52200	0.16445
53100	0.15751
54000	0.15186
54900	0.14705
55800	0.14292
56700	0.13883
57600	0.13482
58500	0.13185
59400	0.13097
60300	0.13370
61200	0.14055
62100	0.15054
63000	0.16184
63900	0.17303
64800	0.18273
65700	0.19111
66600	0.19880
67500	0.20614
68400	0.21352
69300	0.21957
70200	0.22298
71100	0.22173
72000	0.21524
72900	0.20506
73800	0.19367
74700	0.18337
75600	0.17603
76500	0.17078
77400	0.16645
78300	0.16156
79200	0.15535
80100	0.14765
81000	0.13891
81900	0.12945
82800	0.11975
83700	0.11005
84600	0.10046
85500	0.09112
86400	0.10912
87300	0.10115
88200	0.09349
89100	0.08615
90000	0.07906
90900	0.07256
91800	0.06683
92700	0.06222
93600	0.05901
94500	0.05677
95400	0.05512
96300	0.05400
97200	0.05288
98100	0.05176
99000	0.05075
99900	0.04987
100800	0.04903
101700	0.04839
102600	0.04803
103500	0.04779
104400	0.04779
105300	0.04787
106200	0.04827
107100	0.04879
108000	0.04951
108900	0.05035
109800	0.05151
110700	0.05288
111600	0.05484
112500	0.05809
113400	0.06374
114300	0.07272
115200	0.08551
116100	0.10139
117000	0.11870
117900	0.13590
118800	0.15198
119700	0.16669
120600	0.18004
121500	0.19199
122400	0.20273
123300	0.21259
124200	0.22189
125100	0.23140
126000	0.24102
126900	0.25008
127800	0.25757
128700	0.26254
129600	0.26407
130500	0.26206
131400	0.25673
132300	0.24799
133200	0.23637
134100	0.22282
135000	0.20858
135900	0.19511
136800	0.18325
137700	0.17319
138600	0.16473
139500	0.15775
140400	0.15210
141300	0.14725
142200	0.14312
143100	0.13903
144000	0.13506
144900	0.13205
145800	0.13117
146700	0.13390
147600	0.14079
148500	0.15074
149400	0.16208
150300	0.17331
151200	0.18301
152100	0.19139
153000	0.19912
153900	0.20646
154800	0.21384
155700	0.21993
156600	0.22330
157500	0.22205
158400	0.21556
159300	0.20534
160200	0.19399
161100	0.18365
162000	0.17627
162900	0.17106
163800	0.16669
164700	0.16184
165600	0.15559
166500	0.14785
167400	0.13915
168300	0.12965
169200	0.11995
170100	0.11021
171000	0.10062
171900	0.09124
172800	0.08439
173700	0.07589
174600	0.06855
175500	0.06234
176400	0.05769
177300	0.05444
178200	0.05232
179100	0.05095
180000	0.05007
180900	0.04943
181800	0.04919
182700	0.04883
183600	0.04843
184500	0.04819
185400	0.04783
186300	0.04783
187200	0.04795
188100	0.04843
189000	0.04911
189900	0.04995
190800	0.05107
191700	0.05384
192600	0.05957
193500	0.06968
194400	0.08491
195300	0.10339
196200	0.12235
197100	0.13923
198000	0.15182
198900	0.16044
199800	0.16569
200700	0.16829
201600	0.16906
202500	0.16829
203400	0.16621
204300	0.16320
205200	0.15944
206100	0.15555
207000	0.15170
207900	0.14857
208800	0.14649
209700	0.14508
210600	0.14448
211500	0.14448
212400	0.14496
213300	0.14609
214200	0.14821
215100	0.15170
216000	0.15655
216900	0.16180
217800	0.16605
218700	0.16829
219600	0.16753
220500	0.16445
221400	0.15980
222300	0.15482
223200	0.15005
224100	0.14580
225000	0.14196
225900	0.13823
226800	0.13474
227700	0.13173
228600	0.12925
229500	0.12784
230400	0.12760
231300	0.12885
232200	0.13185
233100	0.13723
234000	0.14480
234900	0.15446
235800	0.16553
236700	0.17768
237600	0.19026
238500	0.20249
239400	0.21376
240300	0.22338
241200	0.23063
242100	0.23496
243000	0.23585
243900	0.23272
244800	0.22562
245700	0.21564
246600	0.20466
247500	0.19427
248400	0.18593
