#1	
double	presence(8761,2)
0	1
3600	1
7200	1
10800	1
14400	1
18000	1
21600	0.931
25200	0.8105
28800	0.7415
32400	0.586
36000	0.6035
39600	0.586
43200	0.6725
46800	0.7585
50400	0.6725
54000	0.6895
57600	0.6725
61200	0.724
64800	0.7415
68400	0.845
72000	0.931
75600	0.931
79200	0.931
82800	1
86400	1
90000	1
93600	1
97200	1
100800	1
104400	1
108000	0.931
111600	0.8105
115200	0.7415
118800	0.586
122400	0.6035
126000	0.586
129600	0.6725
133200	0.7585
136800	0.6725
140400	0.6895
144000	0.6725
147600	0.724
151200	0.7415
154800	0.845
158400	0.931
162000	0.931
165600	0.931
169200	1
172800	1
176400	1
180000	1
183600	1
187200	1
190800	1
194400	0.931
198000	0.8105
201600	0.7415
205200	0.586
208800	0.6035
212400	0.586
216000	0.6725
219600	0.7585
223200	0.6725
226800	0.6895
230400	0.6725
234000	0.724
237600	0.7415
241200	0.845
244800	0.931
248400	0.931
252000	0.931
255600	1
259200	1
262800	1
266400	1
270000	1
273600	1
277200	1
280800	0.931
284400	0.8105
288000	0.7415
291600	0.586
295200	0.6035
298800	0.586
302400	0.6725
306000	0.7585
309600	0.6725
313200	0.6895
316800	0.6725
320400	0.724
324000	0.7415
327600	0.845
331200	0.931
334800	0.931
338400	0.931
342000	1
345600	1
349200	1
352800	1
356400	1
360000	1
363600	1
367200	0.931
370800	0.8105
374400	0.7415
378000	0.586
381600	0.6035
385200	0.586
388800	0.6725
392400	0.7585
396000	0.6725
399600	0.6895
403200	0.6725
406800	0.724
410400	0.7415
414000	0.845
417600	0.931
421200	0.931
424800	0.931
428400	1
432000	0.983
435600	0.983
439200	0.983
442800	1
446400	1
450000	0.983
453600	0.914
457200	0.862
460800	0.8275
464400	0.776
468000	0.724
471600	0.655
475200	0.793
478800	0.8275
482400	0.776
486000	0.7415
489600	0.724
493200	0.7415
496800	0.7415
500400	0.7585
504000	0.845
507600	0.8795
511200	0.8965
514800	0.983
518400	0.983
522000	0.983
525600	0.983
529200	1
532800	1
536400	0.983
540000	0.914
