#1	
double	presence(8760,2)
0	0.966
3600	0.966
7200	0.966
10800	1
14400	1
18000	0.966
21600	0.822
25200	0.724
28800	0.655
32400	0.552
36000	0.448
39600	0.31
43200	0.586
46800	0.655
50400	0.552
54000	0.483
57600	0.448
61200	0.483
64800	0.517
68400	0.69
72000	0.759
75600	0.793
79200	0.793
82800	0.966
86400	0.966
90000	0.966
93600	0.966
97200	1
100800	1
104400	0.966
108000	0.822
111600	0.724
115200	0.655
118800	0.552
122400	0.448
126000	0.31
129600	0.586
133200	0.655
136800	0.552
140400	0.483
144000	0.448
147600	0.483
151200	0.517
154800	0.69
158400	0.759
162000	0.793
165600	0.793
169200	0.966
172800	1
176400	1
180000	1
183600	1
187200	1
190800	1
194400	0.862
198000	0.621
201600	0.483
205200	0.172
208800	0.207
212400	0.172
216000	0.345
219600	0.517
223200	0.345
226800	0.379
230400	0.345
234000	0.448
237600	0.483
241200	0.69
244800	0.862
248400	0.862
252000	1
255600	1
259200	1
262800	1
266400	1
270000	1
273600	1
277200	1
280800	0.862
284400	0.621
288000	0.483
291600	0.172
295200	0.207
298800	0.172
302400	0.345
306000	0.517
309600	0.345
313200	0.379
316800	0.345
320400	0.448
324000	0.483
327600	0.69
331200	0.862
334800	0.862
338400	1
342000	1
345600	1
349200	1
352800	1
356400	1
360000	1
363600	1
367201	0.862
370801	0.621
374402	0.483
378002	0.172
381603	0.207
385203	0.172
388804	0.345
392404	0.517
396005	0.345
399605	0.379
403206	0.345
406806	0.448
410407	0.483
414007	0.69
417608	0.862
421208	0.862
424809	1
428409	1
432010	1
435610	1
439211	1
442811	1
446412	1
450012	1
453613	0.862
457213	0.621
460814	0.483
464414	0.172
468015	0.207
471615	0.172
475216	0.345
478816	0.517
482417	0.345
486017	0.379
489618	0.345
493218	0.448
496819	0.483
500419	0.69
504020	0.862
507620	0.862
511221	1
514821	1
518422	1
522022	1
525623	1
529223	1
532824	1
536424	1
540025	0.862
543625	0.621
547226	0.483
550826	0.172
554427	0.207
558027	0.172
561628	0.345
565228	0.517
568829	0.345
572429	0.379
576030	0.345
579630	0.448
583231	0.483
586831	0.69
590432	0.862
594032	0.862
597633	1
601233	1
604834	0.966
608434	0.966
612035	0.966
615635	1
619236	1
622836	0.966
626437	0.822
630037	0.724
633638	0.655
637238	0.552
640839	0.448
644439	0.31
648040	0.586
651640	0.655
655241	0.552
658841	0.483
662442	0.448
666042	0.483
669643	0.517
673243	0.69
676844	0.759
680444	0.793
684045	0.793
687645	0.966
691246	0.966
694846	0.966
698447	0.966
702047	1
705648	1
709248	0.966
712849	0.822
716449	0.724
720049	0.655
723650	0.552
727250	0.448
730851	0.31
734451	0.586
738052	0.655
741652	0.552
745253	0.483
748853	0.448
752454	0.483
756054	0.517
759655	0.69
763255	0.759
766856	0.793
770456	0.793
774057	0.966
777657	1
781258	1
784858	1
788459	1
792059	1
795600	1
799200	0.862
802800	0.621
806400	0.483
810000	0.172
813600	0.207
817200	0.172
820800	0.345
824400	0.517
828000	0.345
831600	0.379
835200	0.345
838800	0.448
842400	0.483
846000	0.69
849600	0.862
853200	0.862
856800	1
860400	1
864000	1
867600	1
871200	1
874800	1
878400	1
882000	1
885600	0.862
