#1	
double	Pel(1441,2)
0	78.175
3600	78.175
7200	56.275
10800	45.075
14400	41.15
18000	38.725
21600	38.625
25200	40.95
28800	50
32400	88.525
36000	138.5
39600	174.175
43200	202.775
46800	206.7
50400	173.025
54000	136.125
57600	116.6
61200	106.7
64800	125.7
68400	156.4
72000	176.275
75600	160.125
79200	135.525
82800	114.75
86400	84.625
90000	78.2
93600	56.3
97200	45.1
100800	41.2
104400	38.7
108000	38.6
111600	41.0
115200	50.0
118800	88.5
122400	138.5
126000	174.2
129600	202.8
133200	206.7
136800	173.0
140400	136.1
144000	116.6
147600	106.7
151200	125.7
154800	156.4
158400	176.3
162000	160.1
165600	135.5
169200	114.8
172800	84.6
176400	78.2
180000	56.3
183600	45.1
187200	41.2
190800	38.7
194400	38.6
198000	41.0
201600	50.0
205200	88.5
208800	138.5
212400	174.2
216000	202.8
219600	206.7
223200	173.0
226800	136.1
230400	116.6
234000	106.7
237600	125.7
241200	156.4
244800	176.3
248400	160.1
252000	135.5
255600	114.8
259200	84.6
262800	78.2
266400	56.3
270000	45.1
273600	41.2
277200	38.7
280800	38.6
284400	41.0
288000	50.0
291600	88.5
295200	138.5
298800	174.2
302400	202.8
306000	206.7
309600	173.0
313200	136.1
316800	116.6
320400	106.7
324000	125.7
327600	156.4
331200	176.3
334800	160.1
338400	135.5
342000	114.8
345600	84.6
349200	78.2
352800	56.3
356400	45.1
360000	41.2
363600	38.7
367200	38.6
370800	41.0
374400	50.0
378000	88.5
381600	138.5
385200	174.2
388800	202.8
392400	206.7
396000	173.0
399600	136.1
403200	116.6
406800	106.7
410400	125.7
414000	156.4
417600	176.3
421200	160.1
424800	135.5
428400	114.8
432000	84.6
435600	78.2
439200	56.3
442800	45.1
446400	41.2
450000	38.7
453600	38.6
457200	41.0
460800	50.0
464400	88.5
468000	138.5
471600	174.2
475200	202.8
478800	206.7
482400	173.0
486000	136.1
489600	116.6
493200	106.7
496800	125.7
500400	156.4
504000	176.3
507600	160.1
511200	135.5
514800	114.8
518400	84.6
522000	78.2
525600	56.3
529200	45.1
532800	41.2
536400	38.7
540000	38.6
543600	41.0
547200	50.0
550800	88.5
554400	138.5
558000	174.2
561600	202.8
565200	206.7
568800	173.0
572400	136.1
576000	116.6
579600	106.7
583200	125.7
586800	156.4
590400	176.3
594000	160.1
597600	135.5
601200	114.8
604800	84.6
608400	78.2
612000	56.3
