#1	
double	presence(1441,2)
0	1
3600	0.983
7200	0.983
10800	0.983
14400	1
18000	1
21600	0.983
25200	0.914
28800	0.862
32400	0.8275
36000	0.776
39600	0.724
43200	0.655
46800	0.793
50400	0.8275
54000	0.776
57600	0.7415
61200	0.724
64800	0.7415
68400	0.7415
72000	0.7585
75600	0.845
79200	0.8795
82800	0.8965
86400	0.983
90000	0.983
93600	0.983
97200	0.983
100800	1
104400	1
108000	0.983
111600	0.914
115200	0.862
118800	0.8275
122400	0.776
126000	0.724
129600	0.655
133200	0.793
136800	0.8275
140400	0.776
144000	0.7415
147600	0.724
151200	0.7415
154800	0.7415
158400	0.7585
162000	0.845
165600	0.8795
169200	0.8965
172800	0.983
176400	0.983
180000	0.983
183600	0.983
187200	1
190800	1
194400	0.983
198000	0.914
201600	0.862
205200	0.8275
208800	0.776
212400	0.724
216000	0.655
219600	0.793
223200	0.8275
226800	0.776
230400	0.7415
234000	0.724
237600	0.7415
241200	0.7415
244800	0.7585
248400	0.845
252000	0.8795
255600	0.8965
259200	0.983
262800	0.983
266400	0.983
270000	0.983
273600	1
277200	1
280800	0.983
284400	0.914
288000	0.862
291600	0.8275
295200	0.776
298800	0.724
302400	0.655
306000	0.793
309600	0.8275
313200	0.776
316800	0.7415
320400	0.724
324000	0.7415
327600	0.7415
331200	0.7585
334800	0.845
338400	0.8795
342000	0.8965
345600	0.983
349200	0.983
352800	0.983
356400	0.983
360000	1
363600	1
367200	0.983
370800	0.914
374400	0.862
378000	0.8275
381600	0.776
385200	0.724
388800	0.655
392400	0.793
396000	0.8275
399600	0.776
403200	0.7415
406800	0.724
410400	0.7415
414000	0.7415
417600	0.7585
421200	0.845
424800	0.8795
428400	0.8965
432000	0.983
435600	0.983
439200	0.983
442800	0.983
446400	1
450000	1
453600	0.983
457200	0.914
460800	0.862
464400	0.8275
468000	0.776
471600	0.724
475200	0.655
478800	0.793
482400	0.8275
486000	0.776
489600	0.7415
493200	0.724
496800	0.7415
500400	0.7415
504000	0.7585
507600	0.845
511200	0.8795
514800	0.8965
518400	0.983
522000	0.983
525600	0.983
529200	0.983
532800	1
536400	1
540000	0.983
543600	0.914
547200	0.862
550800	0.8275
554400	0.776
558000	0.724
561600	0.655
565200	0.793
568800	0.8275
572400	0.776
576000	0.7415
579600	0.724
583200	0.7415
586800	0.7415
590400	0.7585
594000	0.845
597600	0.8795
601200	0.8965
604800	0.983
608400	0.983
612000	0.983
615600	0.983
619200	1
622800	1
626400	0.983
630000	0.914
633600	0.862
637200	0.8275
640800	0.776
644400	0.724
648000	0.655
651600	0.793
655200	0.8275
658800	0.776
662400	0.7415
666000	0.724
669600	0.7415
673200	0.7415
676800	0.7585
680400	0.845
684000	0.8795
687600	0.8965
691200	0.983
694800	0.983
698400	0.983
702000	0.983
705600	1
709200	1
712800	0.983
716400	0.914
720000	0.862
723600	0.8275
727200	0.776
730800	0.724
734400	0.655
738000	0.793
741600	0.8275
745200	0.776
748800	0.7415
752400	0.724
756000	0.7415
759600	0.7415
763200	0.7585
766800	0.845
770400	0.8795
774000	0.8965
777600	0.983
781200	0.983
784800	0.983
788400	0.983
792000	1
795600	1
799200	0.983
802800	0.914
806400	0.862
810000	0.8275
813600	0.776
817200	0.724
820800	0.655
824400	0.793
828000	0.8275
831600	0.776
835200	0.7415
838800	0.724
842400	0.7415
846000	0.7415
849600	0.7585
853200	0.845
856800	0.8795
860400	0.8965
864000	0.983
867600	1
871200	1
874800	1
878400	1
882000	1
885600	1
889200	0.931
892800	0.8105
896400	0.7415
900000	0.586
903600	0.6035
907200	0.586
910800	0.6725
914400	0.7585
918000	0.6725
921600	0.6895
925200	0.6725
928800	0.724
932400	0.7415
936000	0.845
939600	0.931
943200	0.931
946800	0.931
950400	1
954000	1
957600	1
961200	1
964800	1
968400	1
972000	1
975600	0.931
979200	0.8105
982800	0.7415
986400	0.586
990000	0.6035
993600	0.586
997200	0.6725
1000800	0.7585
1004400	0.6725
1008000	0.6895
1011600	0.6725
1015200	0.724
1018800	0.7415
1022400	0.845
1026000	0.931
1029600	0.931
1033200	0.931
1036800	1
1040400	1
1044000	1
1047600	1
1051200	1
1054800	1
1058400	1
1062000	0.931
1065600	0.8105
1069200	0.7415
1072800	0.586
1076400	0.6035
1080000	0.586
1083600	0.6725
1087200	0.7585
1090800	0.6725
1094400	0.6895
1098000	0.6725
1101600	0.724
1105200	0.7415
1108800	0.845
1112400	0.931
1116000	0.931
1119600	0.931
1123200	1
1126800	1
1130400	1
1134000	1
1137600	1
1141200	1
1144800	1
1148400	0.931
1152000	0.8105
1155600	0.7415
1159200	0.586
1162800	0.6035
1166400	0.586
1170000	0.6725
1173600	0.7585
1177200	0.6725
1180800	0.6895
1184400	0.6725
1188000	0.724
1191600	0.7415
1195200	0.845
1198800	0.931
1202400	0.931
1206000	0.931
1209600	1
1213200	1
1216800	1
1220400	1
1224000	1
1227600	1
1231200	1
1234800	0.931
1238400	0.8105
1242000	0.7415
1245600	0.586
1249200	0.6035
1252800	0.586
1256400	0.6725
1260000	0.7585
1263600	0.6725
1267200	0.6895
1270800	0.6725
1274400	0.724
1278000	0.7415
1281600	0.845
1285200	0.931
1288800	0.931
1292400	0.931
1296000	1
1299600	1
1303200	1
1306800	1
1310400	1
1314000	1
1317600	1
1321200	0.931
1324800	0.8105
1328400	0.7415
1332000	0.586
1335600	0.6035
1339200	0.586
1342800	0.6725
1346400	0.7585
1350000	0.6725
1353600	0.6895
1357200	0.6725
1360800	0.724
1364400	0.7415
1368000	0.845
1371600	0.931
1375200	0.931
1378800	0.931
1382400	1
1386000	1
1389600	1
1393200	1
1396800	1
1400400	1
1404000	1
1407600	0.931
1411200	0.8105
1414800	0.7415
1418400	0.586
1422000	0.6035
1425600	0.586
1429200	0.6725
1432800	0.7585
1436400	0.6725
1440000	0.6895
1443600	0.6725
1447200	0.724
1450800	0.7415
1454400	0.845
1458000	0.931
1461600	0.931
1465200	0.931
1468800	1
1472400	1
1476000	1
1479600	1
1483200	1
1486800	1
1490400	1
1494000	0.931
1497600	0.8105
1501200	0.7415
1504800	0.586
1508400	0.6035
1512000	0.586
1515600	0.6725
1519200	0.7585
1522800	0.6725
1526400	0.6895
1530000	0.6725
1533600	0.724
1537200	0.7415
1540800	0.845
1544400	0.931
1548000	0.931
1551600	0.931
1555200	1
1558800	1
1562400	1
1566000	1
1569600	1
1573200	1
1576800	1
1580400	0.931
1584000	0.8105
1587600	0.7415
1591200	0.586
1594800	0.6035
1598400	0.586
1602000	0.6725
1605600	0.7585
1609200	0.6725
1612800	0.6895
1616400	0.6725
1620000	0.724
1623600	0.7415
1627200	0.845
1630800	0.931
1634400	0.931
1638000	0.931
1641600	1
1645200	1
1648800	1
1652400	1
1656000	1
1659600	1
1663200	1
1666800	0.931
1670400	0.8105
1674000	0.7415
1677600	0.586
1681200	0.6035
1684800	0.586
1688400	0.6725
1692000	0.7585
1695600	0.6725
1699200	0.6895
1702800	0.6725
1706400	0.724
1710000	0.7415
1713600	0.845
1717200	0.931
1720800	0.931
1724400	0.931
1728000	1
1731600	1
1735200	1
1738800	1
1742400	1
1746000	1
1749600	1
1753200	0.931
1756800	0.8105
1760400	0.7415
1764000	0.586
1767600	0.6035
1771200	0.586
1774800	0.6725
1778400	0.7585
1782000	0.6725
1785600	0.6895
1789200	0.6725
1792800	0.724
1796400	0.7415
1800000	0.845
1803600	0.931
1807200	0.931
1810800	0.931
1814400	1
1818000	1
1821600	1
1825200	1
1828800	1
1832400	1
1836000	1
1839600	0.931
1843200	0.8105
1846800	0.7415
1850400	0.586
1854000	0.6035
1857600	0.586
1861200	0.6725
1864800	0.7585
1868400	0.6725
1872000	0.6895
1875600	0.6725
1879200	0.724
1882800	0.7415
1886400	0.845
1890000	0.931
1893600	0.931
1897200	0.931
1900800	1
1904400	1
1908000	1
1911600	1
1915200	1
1918800	1
1922400	1
1926000	0.931
1929600	0.8105
1933200	0.7415
1936800	0.586
1940400	0.6035
1944000	0.586
1947600	0.6725
1951200	0.7585
1954800	0.6725
1958400	0.6895
1962000	0.6725
1965600	0.724
1969200	0.7415
1972800	0.845
1976400	0.931
1980000	0.931
1983600	0.931
1987200	1
1990800	1
1994400	1
1998000	1
2001600	1
2005200	1
2008800	1
2012400	0.931
2016000	0.8105
2019600	0.7415
2023200	0.586
2026800	0.6035
2030400	0.586
2034000	0.6725
2037600	0.7585
2041200	0.6725
2044800	0.6895
2048400	0.6725
2052000	0.724
2055600	0.7415
2059200	0.845
2062800	0.931
2066400	0.931
2070000	0.931
2073600	1
2077200	1
2080800	1
2084400	1
2088000	1
2091600	1
2095200	1
2098800	0.931
2102400	0.8105
2106000	0.7415
2109600	0.586
2113200	0.6035
2116800	0.586
2120400	0.6725
2124000	0.7585
2127600	0.6725
2131200	0.6895
2134800	0.6725
2138400	0.724
2142000	0.7415
2145600	0.845
2149200	0.931
2152800	0.931
2156400	0.931
2160000	1
2163600	0.983
2167200	0.983
2170800	0.983
2174400	1
2178000	1
2181600	0.983
2185200	0.914
2188800	0.862
2192400	0.8275
2196000	0.776
2199600	0.724
2203200	0.655
2206800	0.793
2210400	0.8275
2214000	0.776
2217600	0.7415
2221200	0.724
2224800	0.7415
2228400	0.7415
2232000	0.7585
2235600	0.845
2239200	0.8795
2242800	0.8965
2246400	0.983
2250000	0.983
2253600	0.983
2257200	0.983
2260800	1
2264400	1
2268000	0.983
2271600	0.914
2275200	0.862
2278800	0.8275
2282400	0.776
2286000	0.724
2289600	0.655
2293200	0.793
2296800	0.8275
2300400	0.776
2304000	0.7415
2307600	0.724
2311200	0.7415
2314800	0.7415
2318400	0.7585
2322000	0.845
2325600	0.8795
2329200	0.8965
2332800	0.983
2336400	0.983
2340000	0.983
2343600	0.983
2347200	1
2350800	1
2354400	0.983
2358000	0.914
2361600	0.862
2365200	0.8275
2368800	0.776
2372400	0.724
2376000	0.655
2379600	0.793
2383200	0.8275
2386800	0.776
2390400	0.7415
2394000	0.724
2397600	0.7415
2401200	0.7415
2404800	0.7585
2408400	0.845
2412000	0.8795
2415600	0.8965
2419200	0.983
2422800	0.983
2426400	0.983
2430000	0.983
2433600	1
2437200	1
2440800	0.983
2444400	0.914
2448000	0.862
2451600	0.8275
2455200	0.776
2458800	0.724
2462400	0.655
2466000	0.793
2469600	0.8275
2473200	0.776
2476800	0.7415
2480400	0.724
2484000	0.7415
2487600	0.7415
2491200	0.7585
2494800	0.845
2498400	0.8795
2502000	0.8965
2505600	0.983
2509200	0.983
2512800	0.983
2516400	0.983
2520000	1
2523600	1
2527200	0.983
2530800	0.914
2534400	0.862
2538000	0.8275
2541600	0.776
2545200	0.724
2548800	0.655
2552400	0.793
2556000	0.8275
2559600	0.776
2563200	0.7415
2566800	0.724
2570400	0.7415
2574000	0.7415
2577600	0.7585
2581200	0.845
2584800	0.8795
2588400	0.8965
2592000	0.983
2595600	1
2599200	1
2602800	1
2606400	1
2610000	1
2613600	1
2617200	0.931
2620800	0.8105
2624400	0.7415
2628000	0.586
2631600	0.6035
2635200	0.586
2638800	0.6725
2642400	0.7585
2646000	0.6725
2649600	0.6895
2653200	0.6725
2656800	0.724
2660400	0.7415
2664000	0.845
2667600	0.931
2671200	0.931
2674800	0.931
2678400	1
2682000	1
2685600	1
2689200	1
2692800	1
2696400	1
2700000	1
2703600	0.931
2707200	0.8105
2710800	0.7415
2714400	0.586
2718000	0.6035
2721600	0.586
2725200	0.6725
2728800	0.7585
2732400	0.6725
2736000	0.6895
2739600	0.6725
2743200	0.724
2746800	0.7415
2750400	0.845
2754000	0.931
2757600	0.931
2761200	0.931
2764800	1
2768400	1
2772000	1
2775600	1
2779200	1
2782800	1
2786400	1
2790000	0.931
2793600	0.8105
2797200	0.7415
2800800	0.586
2804400	0.6035
2808000	0.586
2811600	0.6725
2815200	0.7585
2818800	0.6725
2822400	0.6895
2826000	0.6725
2829600	0.724
2833200	0.7415
2836800	0.845
2840400	0.931
2844000	0.931
2847600	0.931
2851200	1
2854800	1
2858400	1
2862000	1
2865600	1
2869200	1
2872800	1
2876400	0.931
2880000	0.8105
2883600	0.7415
2887200	0.586
2890800	0.6035
2894400	0.586
2898000	0.6725
2901600	0.7585
2905200	0.6725
2908800	0.6895
2912400	0.6725
2916000	0.724
2919600	0.7415
2923200	0.845
2926800	0.931
2930400	0.931
2934000	0.931
2937600	1
2941200	1
2944800	1
2948400	1
2952000	1
2955600	1
2959200	1
2962800	0.931
2966400	0.8105
2970000	0.7415
2973600	0.586
2977200	0.6035
2980800	0.586
2984400	0.6725
2988000	0.7585
2991600	0.6725
2995200	0.6895
2998800	0.6725
3002400	0.724
3006000	0.7415
3009600	0.845
3013200	0.931
3016800	0.931
3020400	0.931
3024000	1
3027600	0.983
3031200	0.983
3034800	0.983
3038400	1
3042000	1
3045600	0.983
3049200	0.914
3052800	0.862
3056400	0.8275
3060000	0.776
3063600	0.724
3067200	0.655
3070800	0.793
3074400	0.8275
3078000	0.776
3081600	0.7415
3085200	0.724
3088800	0.7415
3092400	0.7415
3096000	0.7585
3099600	0.845
3103200	0.8795
3106800	0.8965
3110400	0.983
3114000	0.983
3117600	0.983
3121200	0.983
3124800	1
3128400	1
3132000	0.983
3135600	0.914
3139200	0.862
3142800	0.8275
3146400	0.776
3150000	0.724
3153600	0.655
3157200	0.793
3160800	0.8275
3164400	0.776
3168000	0.7415
3171600	0.724
3175200	0.7415
3178800	0.7415
3182400	0.7585
3186000	0.845
3189600	0.8795
3193200	0.8965
3196800	0.983
3200400	0.983
3204000	0.983
3207600	0.983
3211200	1
3214800	1
3218400	0.983
3222000	0.914
3225600	0.862
3229200	0.8275
3232800	0.776
3236400	0.724
3240000	0.655
3243600	0.793
3247200	0.8275
3250800	0.776
3254400	0.7415
3258000	0.724
3261600	0.7415
3265200	0.7415
3268800	0.7585
3272400	0.845
3276000	0.8795
3279600	0.8965
3283200	0.983
3286800	0.983
3290400	0.983
3294000	0.983
3297600	1
3301200	1
3304800	0.983
3308400	0.914
3312000	0.862
3315600	0.8275
3319200	0.776
3322800	0.724
3326400	0.655
3330000	0.793
3333600	0.8275
3337200	0.776
3340800	0.7415
3344400	0.724
3348000	0.7415
3351600	0.7415
3355200	0.7585
3358800	0.845
3362400	0.8795
3366000	0.8965
3369600	0.983
3373200	0.983
3376800	0.983
3380400	0.983
3384000	1
3387600	1
3391200	0.983
3394800	0.914
3398400	0.862
3402000	0.8275
3405600	0.776
3409200	0.724
3412800	0.655
3416400	0.793
3420000	0.8275
3423600	0.776
3427200	0.7415
3430800	0.724
3434400	0.7415
3438000	0.7415
3441600	0.7585
3445200	0.845
3448800	0.8795
3452400	0.8965
3456000	0.983
3459600	1
3463200	1
3466800	1
3470400	1
3474000	1
3477600	1
3481200	0.931
3484800	0.8105
3488400	0.7415
3492000	0.586
3495600	0.6035
3499200	0.586
3502800	0.6725
3506400	0.7585
3510000	0.6725
3513600	0.6895
3517200	0.6725
3520800	0.724
3524400	0.7415
3528000	0.845
3531600	0.931
3535200	0.931
3538800	0.931
3542400	1
3546000	1
3549600	1
3553200	1
3556800	1
3560400	1
3564000	1
3567600	0.931
3571200	0.8105
3574800	0.7415
3578400	0.586
3582000	0.6035
3585600	0.586
3589200	0.6725
3592800	0.7585
3596400	0.6725
3600000	0.6895
3603600	0.6725
3607200	0.724
3610800	0.7415
3614400	0.845
3618000	0.931
3621600	0.931
3625200	0.931
3628800	1
3632400	1
3636000	1
3639600	1
3643200	1
3646800	1
3650400	1
3654000	0.931
